id;X1;X2;X3;Y
1;474.02;-306.15;-822.38;-1308.19
2;-860.16;823.37;-92.16;3684.68
3;-13.91;-185.38;-270.73;-253.35
4;423.27;121.89;457.14;-850.79
5;-251.08;-327.65;658.53;-484.81
6;505.62;584.38;921.14;-227.69
7;742.35;-983.76;-854.38;-3351.67
8;911.84;-768.8;-21.19;-3626.86
9;46.52;783.66;-927.25;2041.55
10;941.8;995.73;915.77;-257.81
11;-835.32;950.36;84.06;3828.53
12;-97.89;-101.16;-779.9;345.12
13;97.8;-276.19;-994.5;-358.2
14;369.89;-87.08;-896.49;-571.56
15;27.73;906.17;479.8;1702.79
16;-97.46;-156.81;-744.01;205.72
17;-75.73;433.4;469.07;893.87
18;-313.48;-685.71;-169.37;-754.52
19;-549.13;502.79;310.15;2131.88
20;540.19;-204.17;-711.25;-1277.66
21;-944.09;-117.71;657.16;1458.68
22;-645.58;-271.74;873.11;383.16
23;734.15;-393.99;-654.8;-2134.4
24;548.56;-494.42;-238.32;-2148.69
25;869.84;726.28;-633.01;18.59
26;-9.98;29.96;402.51;-99.79
27;-783.78;-751.31;244.42;-82.12
28;-172.77;-257.11;565.33;-455.02
29;484.21;-74.53;975.77;-1649.96
30;891.6;-899.22;331.24;-4031.37
31;-110.05;78.19;-900.48;819.44
32;674.16;602.39;148.97;-193.69
33;504;-217.22;853.86;-1948.74
34;-189.7;-746.47;147.05;-1298.12
35;725.93;212.85;-337.08;-933.95
36;-762.39;683.24;830.59;2744.08
37;-904.69;-135.08;-317.22;1784.48
38;945.53;-516;23.04;-3165.7
39;294.51;767.63;847.31;659.45
40;-883;194.89;227.38;2210.2
41;-17.51;-890.31;462.11;-2126.65
42;847.12;-511.63;-684.17;-2620.23
43;-340.79;-393.7;-267.73;-11.36
44;-766.24;343.72;655.52;2089.22
45;-512.08;-96.68;268.29;759.04
46;-440.38;-763;740.41;-1070.77
47;-609.34;624.22;959.11;2228.19
48;184;-705.57;-21.4;-1930.8
49;219.44;-471.26;-474.86;-1284.87
50;-535.52;838.31;-519.01;3219.02
